"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Colin Selby","BAL","RP","56.3","59","3","0","3.98","1.32","25","50","24","6","53","0","3","0"
"Brock Burke","CIN","RP","63.4","57","3","1","4.16","1.31","29","62","21","8","63","0","3","0"
"PJ Poulin","WSH","RP","58.9","58","3","2","4.07","1.35","27","55","25","7","59","0","3","0"
"Wandy Peralta","SD","RP","61.0","52","3","0","3.84","1.34","26","57","25","6","62","0","3","0"
"Tim Herrin","CLE","RP","52.4","54","3","0","3.83","1.33","22","45","24","5","54","0","3","0"
"Sam Hentges","SF","RP","49.9","50","2","0","3.59","1.27","20","46","17","4","52","0","2","0"
"Charlie Morton","","SP,RP","85.2","85","5","0","4.66","1.43","44","82","39","12","16","16","6","0"
"Brandon Eisert","CWS","SP,RP","61.3","59","3","1","4.20","1.33","29","59","22","8","61","0","4","0"
"Nick Mears","KC","RP","61.1","58","3","0","4.19","1.31","28","56","23","7","61","0","3","0"
"Jonathan Loaisiga","ARI","RP","52.6","43","3","2","3.91","1.31","23","53","16","6","50","0","2","0"
"Grant Anderson","MIL","RP","58.0","58","3","0","4.17","1.31","27","54","23","8","55","0","3","0"
"Jonathan Bowlan","PHI","RP","56.1","53","3","0","4.12","1.29","26","53","19","8","50","0","3","0"
"Elvis Alvarado","ATH","RP","59.8","63","3","3","4.25","1.38","28","53","30","8","58","0","3","0"
"Jovani Moran","BOS","RP","48.8","53","3","0","3.85","1.33","21","44","21","5","48","0","2","0"
"A.J. Puk","ARI","RP","32.6","38","2","3","3.48","1.17","13","27","11","4","32","0","1","0"
"Brenan Hanifee","DET","RP","59.1","44","3","0","3.94","1.30","26","60","17","6","55","0","3","0"
"Spencer Bivens","SF","RP","70.8","53","3","2","4.17","1.35","33","72","23","8","62","0","4","0"
"Enyel De Los Santos","HOU","RP","61.6","59","3","0","4.32","1.30","30","58","23","9","61","0","3","0"
"Josh White","MIA","RP","47.6","50","3","0","3.95","1.30","21","42","19","6","45","0","2","0"
"Ryan Fernandez","STL","RP","56.7","58","3","0","4.10","1.34","26","51","25","6","55","0","3","0"
"Caleb Ferguson","CIN","RP","57.2","54","3","0","4.08","1.33","26","54","22","6","59","0","3","0"
"Eric Orze","MIN","RP","58.6","59","3","1","4.18","1.36","27","54","26","7","56","0","3","0"
"Danny Coulombe","","RP","46.2","46","2","0","3.74","1.24","19","41","17","5","48","0","2","0"
"Brady Basso","ATH","RP","53.3","47","3","1","4.14","1.30","25","52","17","7","47","0","2","0"
"Huascar Brazoban","NYM","SP,RP","57.0","54","3","0","4.08","1.34","26","51","25","6","53","0","3","0"
"Tim Hill","NYY","RP","66.7","38","4","0","4.07","1.35","30","71","19","7","65","0","3","0"
"Jose Urquidy","","RP","98.5","75","5","0","4.94","1.35","54","102","31","17","19","19","7","0"
"Jacob Webb","CHC","RP","54.3","51","3","0","4.22","1.29","25","49","21","7","52","0","3","0"
"Scott Barlow","","RP","58.7","63","3","0","4.19","1.37","27","50","30","7","60","0","3","0"
"Dietrich Enns","BAL","SP,RP","59.2","55","3","0","4.19","1.33","28","59","20","8","50","0","3","0"
"Jack Dreyer","LAD","SP,RP","45.3","45","2","0","3.80","1.23","19","40","16","5","44","0","2","0"
"Luis Garcia","NYM","RP","57.3","51","3","0","4.01","1.35","26","55","22","6","56","0","3","0"
"Tyler Alexander","TEX","SP,RP","69.3","57","3","0","4.56","1.28","35","71","18","11","52","2","4","0"
"Ryne Stanek","STL","RP","59.2","59","3","2","4.32","1.37","28","54","27","8","61","0","4","0"
"Taylor Clarke","ARI","RP","61.4","50","3","1","4.36","1.30","30","62","17","9","57","0","3","0"
"Cole Sulser","TB","RP","51.5","47","3","0","4.08","1.31","23","49","18","7","48","0","3","0"
"Brent Headrick","NYY","RP","46.3","48","2","0","3.99","1.23","21","42","15","7","42","0","2","0"
"Joel Payamps","ATL","RP","51.1","47","3","0","4.20","1.29","24","50","16","7","52","0","2","0"
"Emerson Hancock","SEA","SP,RP","66.7","53","3","0","4.38","1.31","33","66","22","9","37","6","4","0"
"Yuki Matsui","SD","RP","54.9","55","3","0","4.22","1.34","26","49","25","7","53","0","2","0"
"Casey Legumina","SEA","RP","49.8","48","3","0","4.16","1.31","23","46","20","6","48","0","3","0"
"Carlos Vargas","SEA","RP","56.4","43","3","0","4.06","1.33","25","55","20","6","56","0","3","0"
"Paul Blackburn","NYY","SP,RP","68.4","56","3","0","4.43","1.33","34","69","22","9","47","4","4","0"
"Kevin Kelly","TB","RP","44.2","39","2","0","3.90","1.21","19","43","11","5","44","0","2","0"
"Jalen Beeks","","RP","49.9","44","3","0","4.03","1.33","22","47","19","6","49","0","2","0"
"Justin Martinez","ARI","RP","27.3","34","2","4","3.27","1.29","10","21","14","2","26","0","1","0"
"Luis Medina","ATH","SP","98.4","86","5","0","4.83","1.44","53","96","46","13","32","15","6","0"
"Mitchell Parker","WSH","SP","93.9","70","4","0","4.70","1.38","49","97","32","13","40","11","6","0"
"Alex Cobb","","SP","53.8","44","3","0","4.11","1.34","25","54","18","6","10","10","3","0"
"Ryan Brasier","","RP","46.7","41","2","0","4.00","1.24","21","44","14","5","47","0","2","0"
"Bailey Falter","KC","SP","74.8","54","4","0","4.65","1.35","39","76","25","11","43","6","4","0"
"Anthony Banda","LAD","RP","57.6","55","3","0","4.33","1.36","28","53","25","8","57","0","2","0"
"Kyle Wright","","SP","67.9","55","4","0","4.58","1.38","35","68","25","9","13","12","4","0"
"Rob Zastryzny","MIL","RP","45.9","42","3","0","4.20","1.31","21","43","17","6","46","0","2","0"
"Ian Hamilton","ATL","RP","49.4","51","2","0","3.94","1.35","22","44","22","5","47","0","2","0"
"Cade Gibson","MIA","RP","61.8","49","3","0","4.15","1.39","29","61","25","6","56","0","3","0"
"Jordan Hicks","CWS","SP,RP","60.0","54","3","0","4.22","1.40","28","57","27","6","56","0","3","0"
"Daniel Lynch","KC","RP","59.8","45","3","0","4.29","1.34","29","61","20","8","54","0","3","0"
"Kade Strowd","ARI","RP","57.5","54","3","0","4.24","1.40","27","55","26","7","57","0","3","0"
"Tyler Ferguson","ATH","RP","52.7","52","3","1","4.37","1.38","26","47","26","6","51","0","3","0"
"Luis Garcia","","SP","40.7","40","2","1","4.08","1.25","18","37","14","5","33","1","2","0"
"Chase Silseth","LAA","RP","55.5","54","3","0","4.31","1.39","27","51","27","7","48","0","3","0"
"Austin Warren","NYM","RP","46.0","42","3","0","4.27","1.32","22","44","17","6","42","0","3","0"
"Matt Pushard","STL","RP","51.3","45","3","0","4.29","1.35","24","50","19","7","50","0","3","0"
"Alex Lange","KC","RP","47.1","49","3","0","4.14","1.41","22","41","26","4","49","0","3","0"
"Zack Kelly","BOS","SP,RP","55.3","53","3","0","4.36","1.39","27","51","26","7","52","0","3","0"
"Mason Fluharty","TOR","RP","42.1","43","2","0","4.00","1.30","19","37","18","5","41","0","2","0"
"Paul Sewald","","RP","46.0","46","2","0","4.43","1.24","23","41","15","8","47","0","2","0"
"Gordon Graceffo","STL","RP","59.8","47","3","0","4.38","1.36","29","62","20","7","51","0","3","0"
"Jose Fermin","LAA","RP","52.0","55","3","0","4.50","1.38","26","46","26","8","53","0","4","0"
"Matt Gage","SF","RP","52.9","45","2","0","4.02","1.35","24","52","19","5","52","0","2","0"
"Tommy Kahnle","","RP","56.3","51","3","1","4.36","1.41","27","52","27","7","58","0","3","0"
"Andrew Chafin","","RP","47.6","52","2","0","4.04","1.38","21","42","23","5","50","0","3","0"
"Jaden Hill","COL","RP","50.9","50","3","0","4.45","1.37","25","50","19","6","50","0","3","0"
"Yohan Ramirez","PIT","RP","47.5","49","2","0","4.15","1.34","22","43","20","5","44","0","2","0"
"Dauri Moreta","","RP","33.9","39","2","0","3.89","1.27","15","28","15","4","34","0","2","0"
"Evan Sisk","PIT","RP","46.8","45","2","0","3.91","1.37","20","44","20","4","47","0","2","0"
"Brent Suter","","SP,RP","60.5","47","2","0","4.31","1.32","29","61","19","8","57","0","3","0"
"Ryan Gusto","MIA","SP,RP","62.1","52","3","0","4.57","1.36","32","63","22","9","33","6","4","0"
"Jose Leclerc","","RP","43.5","48","2","0","4.17","1.33","20","38","20","6","43","0","2","0"
"Yaramil Hiraldo","BAL","RP","39.3","41","2","0","4.15","1.27","18","36","14","6","38","0","2","0"
"Michael Kelly","ATH","RP","60.3","51","3","3","4.58","1.41","31","59","26","8","58","0","3","0"
"Shelby Miller","","RP","25.0","27","1","4","3.60","1.16","10","21","9","3","24","0","2","0"
"Dylan Ross","NYM","RP","39.0","42","2","0","3.90","1.35","17","33","20","4","39","0","2","0"
"Justin Bruihl","STL","RP","45.7","41","2","0","4.03","1.34","20","44","17","5","46","0","2","0"
"Jonathan Cannon","CWS","SP,RP","104.4","77","4","0","4.92","1.40","57","109","37","16","31","16","7","0"
"Bradgley Rodriguez","SD","RP","42.3","39","3","0","4.16","1.39","20","39","20","5","41","0","2","0"
"Craig Yoho","MIL","RP","35.5","38","2","0","3.88","1.32","15","31","16","4","35","0","2","0"
"Kyle Hart","SD","SP,RP","58.9","50","3","0","4.58","1.37","30","58","22","8","27","7","3","0"
"Jason Foley","SF","RP","31.2","26","2","0","3.61","1.24","12","30","9","3","32","0","2","0"
"Cooper Criswell","SEA","RP","43.8","36","2","0","4.08","1.30","20","43","14","5","28","3","2","0"
"Hayden Harris","ATL","RP","32.8","37","2","0","3.95","1.30","14","28","14","4","33","0","2","0"
"Josh Sborz","TEX","RP","44.1","45","2","0","4.26","1.34","21","41","18","5","43","0","2","0"
"Tristan Beck","SF","RP","39.6","34","2","0","4.13","1.28","18","38","13","5","33","0","2","0"
"Rico Garcia","BAL","RP","50.6","52","2","0","4.42","1.36","25","47","22","8","48","0","2","0"
"Pierson Ohl","COL","SP,RP","56.0","42","3","0","4.73","1.32","29","62","12","9","31","4","3","0"
"Travis Adams","MIN","SP,RP","60.8","48","3","0","4.59","1.38","31","63","21","8","47","2","3","0"
"Taijuan Walker","PHI","SP,RP","114.5","80","5","0","5.00","1.43","64","122","42","19","41","16","7","0"
"Jack Perkins","ATH","RP","28.8","31","2","0","3.87","1.26","12","25","12","4","23","0","1","0"
"Steven Cruz","KC","RP","44.0","40","2","0","4.18","1.34","20","40","19","5","42","0","2","0"
"Kyle Nicolas","PIT","RP","53.8","53","2","0","4.27","1.41","26","49","26","6","51","0","3","0"
"Hunter Bigge","TB","RP","42.4","43","2","0","4.24","1.35","20","39","18","6","40","0","2","0"
"Brennan Bernardino","COL","SP,RP","56.6","51","3","1","4.49","1.45","28","57","25","6","58","0","3","0"
"Dylan Dodd","ATL","RP","39.7","34","2","0","4.21","1.29","19","40","11","5","37","0","2","0"
"Justin Hagenman","NYM","RP","31.9","29","2","0","4.18","1.22","15","31","8","5","27","0","1","0"
"Colton Gordon","HOU","SP,RP","41.9","37","2","0","4.36","1.29","20","42","12","7","33","1","2","0"
"Connor Brogdon","CLE","RP","51.7","52","2","0","4.53","1.36","26","49","21","8","49","0","3","0"
"Richard Lovelady","WSH","RP","38.1","34","2","0","4.12","1.31","17","36","13","4","38","0","2","0"
"Clarke Schmidt","NYY","SP","27.6","27","2","0","3.94","1.23","12","25","9","4","12","3","1","0"
"Luke Jackson","","RP","48.1","44","2","1","4.28","1.40","23","45","23","5","47","0","3","0"
"Colin Holderman","CLE","RP","40.4","38","2","0","4.16","1.36","19","38","17","5","40","0","2","0"
"Jackson Rutledge","WSH","SP,RP","58.3","50","3","1","4.74","1.41","31","59","23","8","52","0","3","0"
"Griff McGarry","WSH","SP","49.5","55","2","0","4.35","1.44","24","41","30","6","46","0","2","0"
"James McArthur","KC","RP","35.5","32","2","0","4.15","1.31","16","35","12","4","35","0","2","0"
"Craig Kimbrel","NYM","RP","30.4","36","2","0","4.15","1.33","14","25","16","4","30","0","2","0"
"Drew Thorpe","CWS","SP","63.3","47","3","0","4.78","1.37","34","64","23","10","12","12","4","0"
"Easton McGee","MIL","RP","32.4","28","2","0","4.07","1.29","15","31","10","4","29","0","1","0"
"JT Brubaker","SF","RP","49.1","41","2","0","4.37","1.36","24","49","18","6","43","0","2","0"
"Keaton Winn","SF","SP,RP","32.4","29","2","0","4.12","1.29","15","32","10","4","24","1","2","0"
"Sam Moll","CIN","RP","38.5","38","2","0","4.29","1.35","18","35","17","5","40","0","2","0"
"Ron Marinaccio","SD","RP","41.8","40","2","0","4.34","1.36","20","38","19","6","39","0","2","0"
"Anthony Nunez","BAL","RP","25.4","28","2","0","3.96","1.28","11","22","11","3","25","0","1","0"
"Evan Phillips","","RP","23.1","25","1","0","3.46","1.15","9","19","7","2","23","0","1","0"
"Nick Sandlin","LAA","RP","37.9","39","2","0","4.40","1.34","19","33","18","6","39","0","2","0"
"Chad Green","","RP","44.7","39","2","0","4.58","1.31","23","44","15","7","45","0","3","0"
"Drew Smith","","RP","39.7","40","2","0","4.46","1.34","20","36","17","6","40","0","2","0"
"Carlos Rodriguez","MIL","RP","43.7","39","2","0","4.49","1.33","22","41","17","6","29","3","2","0"
"Ethan Roberts","CHC","RP","36.7","36","2","0","4.32","1.34","18","34","15","5","36","0","2","0"
"Zak Kent","TEX","RP","36.5","36","2","0","4.19","1.37","17","33","17","4","33","0","2","0"
"Andre Granillo","STL","RP","36.3","35","2","0","4.29","1.34","17","33","16","5","33","0","2","0"
"RJ Petit","COL","RP","49.8","44","3","0","4.67","1.42","26","51","20","7","49","0","4","0"
"George Soriano","WSH","RP","44.0","41","2","0","4.47","1.36","22","42","18","6","40","0","2","0"
"Rafael Montero","","RP","53.5","51","2","0","4.46","1.42","27","49","27","7","54","0","3","0"
"Ryan Watson","BOS","SP,RP","39.7","34","2","0","4.28","1.35","19","40","14","5","39","0","2","0"
"Will Klein","LAD","RP","44.8","50","2","0","4.35","1.45","22","39","26","5","43","0","2","0"
"Zach McCambley","PHI","SP,RP","43.1","42","2","0","4.43","1.38","21","41","19","6","43","0","2","0"
"Peyton Pallette","CLE","RP","44.6","43","2","0","4.51","1.37","22","42","19","6","42","0","2","0"
"Kohl Drake","ARI","SP","42.5","39","2","0","4.43","1.36","21","41","16","6","16","6","2","0"
"Steven Wilson","TB","RP","52.5","51","2","0","4.72","1.37","28","48","24","9","52","0","3","0"
"Dylan Smith","DET","RP","37.4","33","2","0","4.21","1.36","18","35","16","4","35","0","2","0"
"Reiver Sanmartin","SF","RP","40.4","30","2","0","4.09","1.37","18","42","13","4","38","0","2","0"
"Kyle Hurt","LAD","RP","33.7","35","2","0","4.28","1.36","16","30","16","4","16","4","1","0"
"Jonathan Pintaro","NYM","SP,RP","28.5","28","2","0","3.99","1.35","13","26","13","3","24","1","1","0"
"Tyler Gilbert","CWS","SP,RP","39.8","36","2","0","4.43","1.35","20","39","15","6","37","0","2","0"
"Paxton Schultz","WSH","RP","39.8","37","2","0","4.43","1.36","20","39","16","5","35","0","2","0"
"Kendry Rojas","MIN","SP","37.3","34","2","0","4.28","1.37","18","36","15","4","33","0","2","0"
"Brandyn Garcia","ARI","RP","44.1","39","2","0","4.19","1.43","20","43","20","4","42","0","2","0"
"Bailey Horn","DET","RP","46.6","43","2","0","4.36","1.42","23","44","22","6","45","0","3","0"
"Gus Varland","WSH","RP","42.6","40","2","0","4.42","1.39","21","42","17","5","42","0","2","0"
"Brock Stewart","LAD","RP","29.1","33","1","0","4.00","1.27","13","25","12","4","29","0","1","0"
"Michael Tonkin","MIN","RP","35.2","33","2","0","4.48","1.32","18","34","13","5","33","0","2","0"
"Roddery Munoz","HOU","RP","49.8","50","2","0","4.65","1.40","26","46","24","8","43","0","3","0"
"Andrew Hoffmann","ARI","RP","39.7","36","2","0","4.32","1.39","19","40","16","5","37","0","2","0"
"Joey Lucchesi","","RP","45.6","35","2","0","4.31","1.39","22","46","18","5","43","0","2","0"
"Chris Murphy","CWS","RP","37.1","33","2","0","4.23","1.39","17","34","17","4","32","0","2","0"
"Mitch Spence","ATH","SP,RP","38.7","31","2","0","4.45","1.33","19","40","11","5","30","1","2","0"
"Trent Thornton","CHC","RP","30.4","26","2","0","4.32","1.30","15","30","10","4","29","0","1","0"
"John King","","RP","42.3","28","2","0","4.11","1.39","19","46","13","4","42","0","2","0"
"Kaleb Ort","LAA","RP","46.3","47","2","0","4.67","1.40","24","42","23","7","46","0","2","0"
"Troy Taylor","SEA","RP","38.5","36","2","0","4.35","1.40","19","36","18","5","39","0","2","0"
"Beau Brieske","DET","RP","46.0","40","2","0","4.56","1.38","23","44","20","6","44","0","3","0"
"Max Lazar","PHI","RP","38.0","30","2","0","4.46","1.33","19","38","12","5","35","0","2","0"
"Ty Adcock","SD","RP","34.4","32","2","0","4.48","1.34","17","33","13","5","33","0","2","0"
"Luinder Avila","KC","RP","36.4","32","2","0","4.26","1.39","17","35","16","4","34","0","2","0"
"Jedixson Paez","CWS","SP","37.2","29","2","0","4.43","1.33","18","39","11","5","35","0","2","0"
"Robinson Ortiz","SEA","SP,RP","34.6","33","2","0","4.22","1.41","16","31","18","4","35","0","2","0"
"Juan Morillo","ARI","RP","48.7","45","2","0","4.26","1.48","23","47","25","5","50","0","2","0"
"John Klein","MIN","SP,RP","43.9","38","2","0","4.63","1.36","23","44","16","6","39","0","3","0"
"Grant Holman","ATH","RP","38.4","33","2","0","4.38","1.38","19","38","16","5","39","0","2","0"
"Brandon Young","BAL","SP","33.8","29","2","0","4.49","1.32","17","34","10","5","20","3","2","0"
"Tim Mayza","PHI","RP","28.1","23","2","0","4.09","1.35","13","28","10","3","30","0","1","0"
"Grant Wolfram","BAL","RP","29.9","28","2","0","4.17","1.39","14","28","13","3","29","0","2","0"
"Joe Ross","","RP","41.6","34","2","0","4.47","1.38","21","42","15","5","38","0","2","0"
"Joe Rock","TB","SP,RP","35.9","29","2","0","4.38","1.36","17","37","12","5","22","2","2","0"
"Daysbel Hernandez","ATL","RP","33.5","36","2","0","4.31","1.44","16","29","19","4","33","0","2","0"
"Brandon Williamson","CIN","SP","47.4","40","2","0","4.70","1.37","25","47","18","7","30","3","2","0"
"Josh Simpson","MIA","RP","38.8","37","2","0","4.34","1.44","19","36","20","4","39","0","2","0"
"Adam Mazur","MIA","SP","42.1","32","2","0","4.58","1.35","21","44","13","6","24","4","2","0"
"Nick Raquet","STL","RP","33.7","27","2","0","4.30","1.37","16","34","12","4","32","0","2","0"
"Jorge Lopez","","RP","32.9","28","2","0","4.41","1.36","16","33","12","4","33","0","2","0"
"Eduarniel Nunez","ATH","RP","45.8","46","2","0","4.44","1.48","23","41","27","6","44","0","2","0"
"Carter Baumler","TEX","SP,RP","49.3","43","2","0","4.61","1.42","25","48","22","6","47","0","3","0"
"Pedro Avila","CLE","RP","34.8","31","2","0","4.39","1.40","17","34","15","4","26","2","2","0"
"DJ Herz","WSH","SP","28.5","31","1","0","4.08","1.33","13","24","14","3","17","3","2","0"
"Brandan Bidois","PIT","RP","38.6","36","2","0","4.45","1.43","19","36","19","5","38","0","3","0"
"Zach Pop","PHI","RP","46.6","36","2","0","4.56","1.40","24","48","17","6","46","0","3","0"
"Tayler Saucedo","LAA","RP","35.0","31","2","0","4.36","1.42","17","34","15","4","35","0","2","0"
"Luis Curvelo","TEX","RP","31.3","28","2","0","4.52","1.36","16","29","13","4","30","0","2","0"
"Chase Shugart","PHI","RP","37.4","31","2","0","4.59","1.37","19","37","15","5","35","0","2","0"
"Jose Corniell","TEX","SP,RP","21.4","19","1","0","3.80","1.20","9","19","7","2","15","0","1","0"
"Lou Trivino","","RP","38.1","33","2","0","4.55","1.40","19","37","16","5","38","0","2","0"
"Chase Lee","TOR","RP","24.5","24","1","0","4.07","1.25","11","23","8","3","23","0","1","0"
"Trevor Williams","WSH","SP","34.9","28","2","0","4.57","1.36","18","37","10","5","21","3","2","0"
"Jackson Kowar","MIN","RP","41.0","38","2","0","4.59","1.43","21","39","20","5","41","0","2","0"
"Austin Gomber","TEX","SP","40.0","30","2","0","4.83","1.32","21","42","11","7","22","4","3","0"
"Hayden Wesneski","HOU","SP","25.2","24","1","0","4.22","1.24","12","24","8","4","17","2","1","0"
"Yosver Zulueta","SEA","RP","25.2","26","1","0","3.84","1.35","11","22","13","2","24","0","1","0"
"Chris Roycroft","STL","RP","40.9","33","2","0","4.37","1.45","20","41","19","4","39","0","2","0"
"Yerry De los Santos","NYY","RP","32.7","27","1","0","4.07","1.36","15","32","13","4","31","0","1","0"
"Scott Alexander","","RP","31.7","23","2","0","4.30","1.41","15","33","11","3","33","0","2","0"
"Michael Petersen","MIA","RP","34.4","33","1","0","4.42","1.35","17","33","14","5","33","0","1","0"
"Mason Barnett","ATH","SP","46.0","39","2","0","4.79","1.41","24","45","20","7","23","5","2","0"
"Bryan Hudson","CWS","RP","26.3","25","1","0","4.08","1.33","12","24","11","3","24","0","1","0"
"Luke Little","CHC","RP","21.1","24","1","0","3.71","1.37","9","17","12","2","22","0","1","0"
"Ryan Feltner","COL","SP","109.5","87","5","0","5.22","1.50","64","118","46","16","26","19","7","0"
"Jose Castillo","","RP","19.5","20","1","0","3.69","1.31","8","18","8","2","19","0","1","0"
"Colin Poche","","RP","32.5","30","2","0","4.68","1.41","17","30","16","5","34","0","2","0"
"Garrett Hawkins","SD","RP","25.5","26","1","0","4.19","1.33","12","23","11","4","25","0","1","0"
"Juan Burgos","ARI","RP","32.5","27","2","0","4.51","1.43","16","32","14","4","32","0","2","0"
"Andrew Morris","MIN","SP","24.2","20","1","0","4.14","1.28","11","24","7","3","23","0","1","0"
"Michel Otanez","TEX","RP","26.1","32","1","0","4.20","1.42","12","21","16","3","26","0","1","0"
"Tyler Samaniego","BOS","RP","27.7","23","2","0","4.42","1.43","14","28","12","3","27","0","2","0"
"Sammy Peralta","MIL","RP","25.9","22","1","0","4.24","1.30","12","25","9","3","22","0","1","0"
"Liam Hendriks","","RP","24.0","24","1","0","4.27","1.31","11","22","10","3","24","0","1","0"
"Josh Winckowski","TOR","RP","18.1","16","1","0","3.73","1.27","8","18","6","2","12","1","1","0"
"Philip Abner","ARI","RP","26.5","24","1","0","4.19","1.35","12","26","10","3","27","0","1","0"
"Sam Bachman","LAA","RP","31.4","26","2","0","4.45","1.46","16","31","15","3","30","0","2","0"
"Codi Heuer","CLE","RP","19.0","21","1","0","4.02","1.31","9","17","8","3","12","0","1","0"
"Josh Walker","BAL","RP","30.1","33","2","0","4.79","1.46","16","28","16","5","26","0","2","0"
"Michael Grove","","RP","17.4","19","1","0","4.15","1.24","8","16","6","3","12","1","1","0"
"Danny Young","ATL","RP","19.0","20","1","0","3.85","1.34","8","17","9","2","20","0","1","0"
"Jesse Scholtens","TB","SP,RP","30.7","27","1","0","4.50","1.33","15","31","10","5","26","0","1","0"
"John Rooney","TB","RP","16.5","20","1","0","3.81","1.33","7","13","10","2","13","0","1","0"
"Matt Waldron","SD","SP","36.8","29","2","0","4.95","1.37","20","38","12","6","7","7","2","0"
"Kendall Graveman","","RP","39.1","34","2","0","4.60","1.48","20","39","19","5","39","0","2","0"
"Cody Laweryson","LAA","RP","31.9","27","1","0","4.43","1.35","16","32","11","4","28","0","2","0"
"Alec Marsh","KC","SP","18.8","20","1","0","4.07","1.30","9","18","7","3","5","1","1","0"
"Cal Quantrill","TEX","SP","39.3","30","2","0","4.96","1.37","22","41","13","6","19","5","3","0"
"Wikelman Gonzalez","CWS","SP,RP","51.6","50","2","0","4.79","1.50","27","46","31","7","46","0","3","0"
"Caleb Boushley","","RP","26.9","20","2","0","4.52","1.41","14","29","9","4","15","1","2","0"
"McCade Brown","COL","SP","78.0","72","3","0","5.25","1.47","46","80","35","13","16","16","6","0"
"Ryan Burr","","SP,RP","10.5","15","1","0","3.42","1.19","4","8","5","1","12","0","1","0"
"Bryan Hoeing","SD","RP","25.9","21","1","0","4.21","1.33","12","26","9","3","21","1","1","0"
"Hunter Stratton","ATL","RP","23.1","21","1","0","4.22","1.32","11","22","8","3","22","0","1","0"
"Spencer Turnbull","","SP,RP","51.3","39","3","0","4.99","1.48","28","54","22","7","11","10","4","0"
"Cade Winquest","NYY","SP","39.7","31","2","0","4.85","1.41","21","40","16","6","37","0","2","0"
"Shawn Dubin","ARI","RP","20.3","20","1","0","3.99","1.35","9","19","9","2","17","0","1","0"
"Ryan Borucki","CWS","RP","18.8","18","1","0","4.03","1.30","8","17","8","2","19","0","1","0"
"Jose Suarez","ATL","RP","20.6","20","1","0","4.21","1.31","10","20","7","3","18","0","1","0"
"Alex Carrillo","NYM","RP","23.0","26","1","0","4.37","1.37","11","20","12","3","22","0","2","0"
"Albert Suarez","BAL","SP,RP","28.1","23","1","0","4.39","1.34","14","28","9","4","20","1","1","0"
"Chris Devenski","PIT","RP","27.7","23","1","0","4.48","1.33","14","28","9","4","26","0","1","0"
"Tyson Neighbors","BAL","RP","21.2","22","1","0","4.33","1.34","10","19","9","3","21","0","1","0"
"Evan Reifert","TB","RP","19.8","22","1","0","4.13","1.38","9","17","10","2","19","0","1","0"
"Dane Dunning","SEA","SP,RP","21.1","18","1","0","4.22","1.31","10","21","7","3","12","2","1","0"
"Sean Guenther","DET","RP","18.7","15","1","0","3.98","1.30","8","18","6","2","18","0","1","0"
"Ronel Blanco","HOU","SP","17.7","18","1","0","4.23","1.29","8","16","7","3","8","2","1","0"
"Erick Fedde","","SP,RP","31.1","23","2","0","4.78","1.41","16","31","12","5","6","6","2","0"
"Derek Law","ARI","RP","26.7","22","1","0","4.27","1.37","13","27","10","3","26","0","1","0"
"Austin Peterson","CLE","SP","30.9","22","1","0","4.61","1.31","16","33","8","5","16","3","2","0"
"Kervin Castro","NYY","RP","20.7","19","1","0","4.18","1.35","10","19","9","2","20","0","1","0"
"Franco Aleman","CLE","RP","20.0","22","1","0","4.26","1.39","9","18","10","2","20","0","1","0"
"Jhony Brito","SD","RP","21.6","17","1","0","4.27","1.32","10","21","7","3","18","1","1","0"
"Gregory Santos","SF","RP","20.0","18","1","0","3.90","1.41","9","19","9","1","20","0","1","0"
"Hunter Strickland","","RP","34.5","27","2","0","4.89","1.43","19","34","15","5","34","0","2","0"
"Drew Sommers","DET","RP","19.8","17","1","0","4.04","1.37","9","19","8","2","21","0","1","0"
"Kyle Backhus","PHI","RP","21.5","21","1","0","4.33","1.37","10","20","9","3","23","0","1","0"
"Joey Gerber","NYM","SP,RP","20.4","20","1","0","4.49","1.32","10","19","8","3","19","0","1","0"
"Angel Chivilli","NYY","RP","29.8","27","1","0","4.60","1.38","15","30","11","5","28","0","2","0"
"Sean Sullivan","COL","SP","40.1","30","2","0","5.10","1.39","23","44","12","7","7","7","3","0"
"Carson Seymour","SF","SP,RP","21.7","19","1","0","4.19","1.38","10","21","8","3","17","0","1","0"
"Daison Acosta","SD","RP","20.1","21","1","0","4.22","1.40","9","17","11","2","20","0","1","0"
"Mike Clevinger","PIT","RP","34.5","27","2","0","5.02","1.41","19","36","13","6","12","6","3","0"
"Zach Agnos","COL","RP","44.9","36","2","1","5.01","1.46","25","47","19","7","43","0","3","0"
"Eli Morgan","KC","RP","32.0","27","1","0","4.71","1.36","17","32","12","5","31","0","1","0"
"Paul Gervase","LAD","RP","23.9","26","1","0","4.59","1.39","12","21","12","4","23","0","1","0"
"Lazaro Estrada","TOR","SP,RP","20.3","18","1","0","4.50","1.30","10","20","6","3","17","0","1","0"
"Ryan Johnson","LAA","RP","19.3","19","1","0","4.33","1.35","9","20","7","3","18","0","1","0"
"Cole Wilcox","SEA","RP","23.5","19","1","0","4.29","1.37","11","23","9","3","22","0","1","0"
"Ryan Harbin","PIT","RP","35.7","34","2","0","4.65","1.55","18","35","21","4","35","0","2","0"
"Kolby Allard","CLE","SP,RP","32.3","25","1","0","4.55","1.38","16","34","10","5","26","0","2","0"
"Brycen Mautz","STL","SP","17.4","15","1","0","4.20","1.32","8","17","6","2","15","1","1","0"
